source_node,relation,target_node,type
南京市秦淮区,变更设立,新的南京市秦淮区,dynamic
南京市鼓楼区,变更设立,新的南京市鼓楼区,dynamic
溧水县,变更设立,南京市溧水区,dynamic
高淳县,变更设立,南京市高淳区,dynamic
梧州市蝶山区,变更设立,新的梧州市万秀区,dynamic
达县,变更设立,达州市达川区,dynamic
潮安县,变更设立,潮州市潮安区,dynamic
玉树县,变更设立,县级玉树市,dynamic
绍兴县,变更设立,绍兴市柯桥区,dynamic
县级上虞市,变更设立,绍兴市上虞区,dynamic
梅县,变更设立,梅州市梅县区,dynamic
县级南康市,变更设立,赣州市南康区,dynamic
济宁市市中区,变更设立,新的任城区,dynamic
兖州市,变更设立,济宁市兖州区,dynamic
海南省西沙群岛,变更设立,地级三沙市,dynamic
唐海县,变更设立,唐山市曹妃甸区,dynamic
苏州市沧浪区,变更设立,苏州市姑苏区,dynamic
县级吴江市,变更设立,苏州市吴江区,dynamic
马鞍山市金家庄区和花山区,变更设立,新的花山区,dynamic
名山县,变更设立,雅安市名山区,dynamic
青岛市市北区,变更设立,新的青岛市市北区,dynamic
青岛市黄岛区,变更设立,新的青岛市黄岛区,dynamic
贵阳市花溪区,变更设立,新的贵阳市花溪区,dynamic
清新县,变更设立,清远市清新区,dynamic
揭东县,变更设立,揭阳市揭东区,dynamic
县级姜堰市,变更设立,泰州市姜堰区,dynamic
南溪县,变更设立,宜宾市南溪区,dynamic
望城县,变更设立,长沙市望城区,dynamic
呈贡县,变更设立,昆明市呈贡区,dynamic
上海市黄浦区和卢湾区,变更设立,新的黄浦区,dynamic
原地级巢湖市居巢区,变更设立,县级巢湖市,dynamic
重庆市双桥区,变更设立,重庆市大足区,dynamic
重庆市万盛区,变更设立,重庆市綦江区,dynamic
毕节地区,变更设立,地级毕节市,dynamic
毕节地区和县级毕节市,变更设立,地级毕节市,dynamic
铜仁地区,变更设立,地级铜仁市,dynamic
铜仁地区和县级铜仁市,变更设立,地级铜仁市,dynamic
县级江都市,变更设立,扬州市江都区,dynamic
北京市东城区,变更设立,新的北京市东城区,dynamic
北京市西城区,变更设立,新的北京市西城区,dynamic
铜山县,变更设立,徐州市铜山区,dynamic
蒙自县,变更设立,蒙自市,dynamic
蒙自县,变更设立,蒙自市（县级）,dynamic
文山县,变更设立,文山市,dynamic
文山县,变更设立,文山市（县级）,dynamic
通州市,变更设立,南通市通州区,dynamic
天津市塘沽区,变更设立,天津市滨海新区,dynamic
米泉市和乌鲁木齐市东山区,变更设立,乌鲁木齐市米东区,dynamic
江源县设立白山市江源区撤销江源县,变更设立,白山市江源区,dynamic
江源县,变更设立,白山市江源区,dynamic
阿城市,变更设立,哈尔滨市阿城区,dynamic
江津市,变更设立,重庆市江津区,dynamic
合川市,变更设立,重庆市合川区,dynamic
永川市,变更设立,重庆市永川区,dynamic
南川市,变更设立,重庆市南川区,dynamic
广州市东山区,变更设立,广州市南沙区,dynamic
芜湖市新芜区,变更设立,新的芜湖市镜湖区,dynamic
陇南地区设立地级陇南市撤销陇南地区和武都县,变更设立,地级陇南市,dynamic
陇南地区,变更设立,地级陇南市,dynamic
陇南地区和武都县,变更设立,地级陇南市,dynamic
宿豫县,变更设立,宿迁市宿豫区,dynamic
呼兰县,变更设立,哈尔滨市呼兰区,dynamic
韶关市北江区,变更设立,韶关市曲江区,dynamic
郾城县,变更设立,漯河市郾城区,dynamic
南宁市城北区,变更设立,南宁市西乡塘区,dynamic
广西壮族自治区梧州市郊区,变更设立,梧州市长洲区,dynamic
广东省汕头市升平区,变更设立,汕头市金平区,dynamic
汕头市河浦区,变更设立,汕头市濠江区,dynamic
县级潮阳市,变更设立,汕头市潮阳区,dynamic
县级澄海市,变更设立,汕头市澄海区,dynamic
陕西省宝鸡县,变更设立,宝鸡市陈仓区,dynamic
广东省县级惠阳市,变更设立,惠州市惠阳区,dynamic
甘肃省定西地区和定西县,变更设立,地级定西市,dynamic
四川省北川县,变更设立,北川羌族自治县,dynamic
山西省吕梁地区和县级离石市,变更设立,地级吕梁市,dynamic
云南省思茅地区和县级思茅市,变更设立,地级思茅市,dynamic
内蒙古自治区巴彦淖尔盟和县级临河市,变更设立,地级巴彦淖尔市,dynamic
内蒙古自治区乌兰察布盟和县级集宁市,变更设立,地级乌兰察布市,dynamic
江苏省盐都县,变更设立,盐城市盐都区,dynamic
四川省遂宁市市中区,变更设立,遂宁市船山区和安居区,dynamic
云南省临沧地区和临沧县,变更设立,地级临沧市,dynamic
宁夏回族自治区中卫县,变更设立,地级中卫市,dynamic
宁夏回族自治区石嘴山市惠农县和石嘴山区,变更设立,石嘴山市惠农区,dynamic
河北省县级丰南市,变更设立,唐山市丰南区,dynamic
河北省丰润县和唐山市新区,变更设立,唐山市丰润区,dynamic
浙江省鄞县,变更设立,宁波市鄞州区,dynamic
甘肃省张掖地区和县级张掖市,变更设立,地级张掖市,dynamic
江苏省县级武进市,变更设立,常州市武进区,dynamic
江苏省南京市浦口区和江浦县,变更设立,新的南京市浦口区,dynamic
江苏省南京市大厂区和六合县,变更设立,南京市六合区,dynamic
江苏省丹徒县,变更设立,镇江市丹徒区,dynamic
四川省温江县,变更设立,成都市温江区,dynamic
广西壮族自治区百色地区和县级百色市,变更设立,地级百色市,dynamic
陕西省长安县,变更设立,西安市长安区,dynamic
甘肃省平凉地区和县级平凉市,变更设立,地级平凉市,dynamic
广西壮族自治区贺州地区和县级贺州市,变更设立,地级贺州市,dynamic
广西壮族自治区河池地区和县级河池市,变更设立,地级河池市,dynamic
陕西省耀县,变更设立,铜川市耀州区,dynamic
甘肃省酒泉地区和县级酒泉市,变更设立,地级酒泉市,dynamic
广东省县级新会市,变更设立,江门市新会区,dynamic
甘肃省庆阳地区和县级西峰市,变更设立,地级庆阳市,dynamic
广西壮族自治区柳州地区和来宾县,变更设立,地级来宾市,dynamic
海南省琼山市和海口市秀英区,变更设立,海口市秀英区,dynamic
宁夏回族自治区银川市城区,变更设立,银川市西夏区,dynamic
广东省佛山市城区和石湾区,变更设立,佛山市禅城区,dynamic
广东省县级南海市,变更设立,佛山市南海区,dynamic
广东省县级顺德市,变更设立,佛山市顺德区,dynamic
广东省县级三水市,变更设立,佛山市三水区,dynamic
广东省县级高明市,变更设立,佛山市高明区,dynamic
广西壮族自治区南宁地区和崇左县,变更设立,地级崇左市,dynamic
云南省丽江地区和丽江纳西族自治县,变更设立,地级丽江市,dynamic
河南省安阳市铁西区,变更设立,安阳市殷都区,dynamic
北京市大兴县,变更设立,北京市大兴区,dynamic
上海市奉贤县,变更设立,上海市奉贤区,dynamic
上海市南汇县,变更设立,上海市南汇区,dynamic
云南省昭通地区和县级昭通市,变更设立,地级昭通市,dynamic
河北省石家庄市郊区,变更设立,石家庄市裕华区,dynamic
浙江省县级萧山市,变更设立,杭州市萧山区,dynamic
浙江省县级余杭市,变更设立,杭州市余杭区,dynamic
内蒙古自治区伊克昭盟和县级东胜市,变更设立,地级鄂尔多斯市,dynamic
天津市宝坻县,变更设立,天津市宝坻区,dynamic
湖北省宜昌县,变更设立,宜昌市夷陵区,dynamic
湖南省衡阳市江东区,变更设立,衡阳市珠晖区,dynamic
广东省斗门县,变更设立,珠海市斗门区,dynamic
甘肃省武威地区和县级武威市,变更设立,地级武威市,dynamic
山东省长清县,变更设立,济南市长清区,dynamic
宁夏回族自治区固原地区和固原县,变更设立,地级固原市,dynamic
湖北省襄阳县,变更设立,襄樊市襄阳区,dynamic
陕西省商洛地区和县级商州市,变更设立,地级商洛市,dynamic
内蒙古自治区呼伦贝尔盟和县级海拉尔市,变更设立,地级呼伦贝尔市,dynamic
四川省新都县,变更设立,成都市新都区,dynamic
浙江省衢县,变更设立,衢州市衢江区,dynamic
重庆市长寿县,变更设立,重庆市长寿区,dynamic
北京市怀柔县,变更设立,北京市怀柔区,dynamic
北京市平谷县,变更设立,北京市平谷区,dynamic
江西省吉安地区和县级吉安市,变更设立,地级吉安市,dynamic
浙江省丽水地区和县级丽水市,变更设立,地级丽水市,dynamic
广东省县级番禺市,变更设立,广州市番禺区,dynamic
广东省县级花都市,变更设立,广州市花都区,dynamic
安徽省县级亳州市,变更设立,地级亳州市,dynamic
江西省宜春地区和县级宜春市,变更设立,地级宜春市,dynamic
河南省周口地区和县级周口市,变更设立,地级周口市,dynamic
河南省驻马店地区和县级驻马店市,变更设立,地级驻马店市,dynamic
山东省滨州地区和县级滨州市,变更设立,地级滨州市,dynamic
四川省眉山地区和眉山县,变更设立,地级眉山市,dynamic
上海市黄浦区和南市区,变更设立,新的黄浦区,dynamic
天津市武清县,变更设立,天津市武清区,dynamic
四川省雅安地区和县级雅安市,变更设立,地级雅安市,dynamic
山西省运城地区和县级运城市,变更设立,地级运城市,dynamic
四川省巴中地区和县级巴中市,变更设立,地级巴中市,dynamic
山西省忻州地区和县级忻州市,变更设立,地级忻州市,dynamic
四川省资阳地区和县级资阳市,变更设立,地级资阳市,dynamic
山西省临汾地区和县级临汾市,变更设立,地级临汾市,dynamic
贵州省安顺地区和县级安顺市,变更设立,地级安顺市,dynamic
陕西省安康地区和县级安康市,变更设立,地级安康市,dynamic
江西省抚州地区和县级临川市,变更设立,地级抚州市,dynamic
江西省上饶地区和县级上饶市,变更设立,地级上饶市,dynamic
山东省菏泽地区和县级菏泽市,变更设立,地级菏泽市,dynamic
湖北省县级随州市,变更设立,地级随州市,dynamic
安徽省池州地区和县级贵池市,变更设立,地级池州市,dynamic
安徽省宣城地区和县级宣州市,变更设立,地级宣城市,dynamic
重庆市黔江土家族苗族自治县,变更设立,重庆市黔江区,dynamic
江苏省邗江县,变更设立,扬州市邗江区,dynamic
江苏省江宁县,变更设立,南京市江宁区,dynamic
县级淮安市,变更设立,淮安市楚州区,dynamic
淮阴县,变更设立,淮安市淮阴区,dynamic
江苏省锡山市,变更设立,无锡市锡山区和惠山区,dynamic
云南省保山地区和县级保山市,变更设立,地级保山市,dynamic
浙江省金华县,变更设立,金华市金东区,dynamic
江苏省县级吴县市,变更设立,苏州市吴中区,dynamic
云南省畹町市,变更设立,地级通辽市,dynamic
内蒙古自治区哲里木盟和县级通辽市,变更设立,地级通辽市,dynamic
湖南省娄底地区和县级娄底市,变更设立,地级娄底市,dynamic
贵州省盘县特区,变更设立,盘县,dynamic
四川省达川地区和县级达川市,变更设立,地级达州市,dynamic
安徽省巢湖地区和县级巢湖市,变更设立,地级巢湖市,dynamic
安徽省六安地区和县级六安市,变更设立,地级六安市,dynamic
北京市昌平县,变更设立,北京市昌平区,dynamic
上海市青浦县,变更设立,上海市青浦区,dynamic
山西省晋中地区和县级榆次市,变更设立,地级晋中市,dynamic
福建省宁德地区和县级宁德市,变更设立,地级宁德市,dynamic
陕西省榆林地区和县级榆林市,变更设立,地级榆林市,dynamic
黑龙江省绥化地区和县级绥化市,变更设立,地级绥化市,dynamic
